generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
18250000,2,0.372548,-3832.26,0.542677,0.617476,0.2364
18300000,2,-1.20464,-3833.55,2.16389,0.625088,0.235811
18350000,2,-0.864304,-3832.93,1.76978,0.608644,0.2399
18400000,2,0.0949943,-3832.7,0.821971,0.61997,0.243378
18450000,3,-1.26313,-3832.38,2.38454,0.600074,0.2464
18500000,3,-0.637326,-3833.1,0.859947,0.591416,0.2489
18550000,2,-0.357802,-3839.09,1.0927,0.619281,0.2439
18600000,2,-1.72999,-3841.47,1.80245,0.635158,0.2132
18650000,2,-1.96914,-3833.63,2.86093,0.61509,0.242067
18700000,2,-2.11263,-3833.64,3.04879,0.627399,0.2343
18750000,3,-1.52245,-3829.84,2.42838,0.604942,0.236
18800000,1,-0.272209,-3844.2,0.640314,0.60665,0.2106
18850000,2,-0.259205,-3835.27,1.17894,0.635436,0.242172
18900000,4,-2.41503,-3835.59,1.10886,0.603509,0.23845
18950000,2,-1.31727,-3835.78,2.16803,0.592032,0.23645
19000000,2,-0.952903,-3834.86,1.83767,0.638452,0.2355
19050000,1,-0.817419,-3843.79,1.20371,0.604735,0.2131
19100000,2,-0.302617,-3832.34,1.13442,0.601388,0.23635
19150000,3,-3.71322,-3834.88,4.79391,0.604341,0.2321
19200000,3,-0.668623,-3832.79,1.69546,0.591396,0.2457
19250000,3,-1.44205,-3831.02,1.78009,0.598029,0.2388
19300000,3,-2.4117,-3832.76,3.96748,0.606039,0.221011
19350000,3,-1.92695,-3838.05,1.68711,0.668298,0.24425
19400000,2,-0.257505,-3833.06,1.19084,0.616742,0.24475
19450000,2,-2.17922,-3842.98,2.93532,0.634456,0.2185
19500000,2,-0.596469,-3834.04,1.412,0.606246,0.2371
19550000,3,-1.05118,-3835.28,2.19855,0.58261,0.2406
19600000,1,0.283092,-3847.43,0.149225,0.621299,0.2147
19650000,1,-0.455351,-3844.06,0.798273,0.612438,0.21442
19700000,2,0.315222,-3836.43,0.53688,0.634924,0.237367
19750000,2,0.470475,-3837.24,0.3954,0.619118,0.240625
19800000,2,-1.77428,-3835.19,2.73517,0.605884,0.2435
19850000,2,-0.230107,-3833.18,1.21643,0.633152,0.2382
19900000,3,-1.27109,-3832.15,2.33911,0.604535,0.2288
19950000,2,0.0562145,-3834.15,0.863323,0.650643,0.2455
20000000,3,-1.74973,-3833.33,2.91119,0.617266,0.2363
20050000,2,0.290145,-3833.07,0.656477,0.60977,0.2374
20100000,3,-0.141089,-3833.77,1.05038,0.611079,0.238033
20150000,2,-2.38999,-3831.62,3.35499,0.598188,0.2424
20200000,2,0.381946,-3833.66,0.633548,0.612721,0.244114
20250000,2,-0.582503,-3835.57,1.45553,0.603544,0.2337
20300000,2,0.0750446,-3833.99,0.818769,0.632399,0.2468
20350000,2,-0.188877,-3832.44,1.07753,0.607842,0.246575
20400000,2,-1.28924,-3842.25,2.10884,0.635282,0.219271
20450000,1,-1.19144,-3846.29,1.59299,0.644112,0.241975
20500000,1,-0.118405,-3851.39,0.505596,0.634222,0.256192
20550000,1,0.339162,-3844.48,0.0356514,0.612546,0.21425
20600000,3,-2.92089,-3832.72,2.85592,0.637676,0.2306
20650000,2,-1.02157,-3833.22,1.93837,0.61084,0.2338
20700000,2,-0.514677,-3833.14,1.41835,0.626593,0.2324
20750000,2,-0.698069,-3834.13,1.54914,0.618122,0.2428
20800000,2,0.286779,-3832.54,0.671515,0.620854,0.2446
20850000,3,-2.13126,-3844.99,2.99138,0.616436,0.2323
20900000,1,-0.380058,-3845.25,0.757371,0.608769,0.2087
20950000,2,0.635206,-3835.31,0.33325,0.600495,0.2471
